"Subject","Switch_Method","Number_of_Switches","Cluster_Size_mean","Cluster_Size_std"
814,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",8,2.55555555555556,1.70692127730414
814,"simdrop",8,2.55555555555556,0.684934889218775
814,"troyerextended",8,2.55555555555556,1.1653431646335
815,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",7,2.625,2.11763429326218
815,"simdrop",6,3,1.0690449676497
815,"troyerextended",12,1.61538461538462,1.07692307692308
816,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",8,2.66666666666667,1.49071198499986
816,"simdrop",8,2.66666666666667,0.666666666666667
816,"troyerextended",8,2.66666666666667,1.63299316185545
818,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",5,3.33333333333333,3.54338193757822
818,"simdrop",5,3.33333333333333,1.10554159678513
818,"troyerextended",11,1.66666666666667,1.43372087784044
819,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",5,3,1
819,"simdrop",5,3,1
819,"troyerextended",9,1.8,0.871779788708135
820,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",12,2.38461538461538,1.07692307692308
820,"simdrop",9,3.1,1.04403065089106
820,"troyerextended",9,3.1,2.16564078277077
821,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",6,2.85714285714286,1.72614942479922
821,"simdrop",5,3.33333333333333,1.24721912892465
821,"troyerextended",9,2,1.18321595661992
822,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",5,4,3.2659863237109
822,"simdrop",6,3.42857142857143,0.903507902905251
822,"troyerextended",7,3,2.44948974278318
823,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",9,2.4,1.113552872566
823,"simdrop",9,2.4,0.489897948556636
823,"troyerextended",7,3,1.80277563773199
824,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",4,3.8,3.76297754444536
824,"simdrop",5,3.16666666666667,1.34370962471642
824,"troyerextended",8,2.11111111111111,1.6629588385662
825,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",8,2.77777777777778,2.24982852570184
825,"simdrop",7,3.125,0.927024810886958
825,"troyerextended",7,3.125,2.42061459137964
826,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",5,3,2
826,"simdrop",4,3.6,0.8
826,"troyerextended",7,2.25,1.6393596310755
827,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",8,2.33333333333333,0.942809041582063
827,"simdrop",6,3,0.755928946018454
827,"troyerextended",8,2.33333333333333,1.4142135623731
828,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",9,2.4,1.62480768092719
828,"simdrop",7,3,0.866025403784439
828,"troyerextended",8,2.66666666666667,1.76383420737639
829,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",10,1.36363636363636,0.481045692920835
829,"simdrop",4,3,1.26491106406735
829,"troyerextended",5,2.5,2.92973263854116
830,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",9,2.9,3.44818792991333
830,"simdrop",7,3.625,1.40867845869808
830,"troyerextended",13,2.07142857142857,1.38689198849626
831,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",8,2.55555555555556,1.70692127730414
831,"simdrop",8,2.55555555555556,0.496903994999953
831,"troyerextended",10,2.09090909090909,1.37870462619119
832,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",4,3.4,2.0591260281974
832,"simdrop",4,3.4,0.489897948556636
832,"troyerextended",7,2.125,1.26861144563653
833,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",3,3.25,2.27760839478607
833,"simdrop",3,3.25,1.08972473588517
833,"troyerextended",7,1.625,0.695970545353753
834,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",6,2.28571428571429,1.38505138783324
834,"simdrop",5,2.66666666666667,0.471404520791032
834,"troyerextended",7,2,1.3228756555323
835,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",9,1.8,1.16619037896906
835,"simdrop",4,3.6,1.74355957741627
835,"troyerextended",9,1.8,0.979795897113271
837,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",6,3.42857142857143,2.1946130708196
837,"simdrop",6,3.42857142857143,0.494871659305393
837,"troyerextended",5,4,2.3094010767585
838,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",5,3.5,2.5
838,"simdrop",5,3.5,1.25830573921179
838,"troyerextended",10,1.90909090909091,0.995859195463938
839,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",5,3.83333333333333,2.91070819942883
839,"simdrop",6,3.28571428571429,0.699854212223765
839,"troyerextended",8,2.55555555555556,1.57134840263677
840,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",11,2.25,1.23322071557906
840,"simdrop",8,3,1.24721912892465
840,"troyerextended",12,2.07692307692308,1.07141448286032
841,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",6,4.14285714285714,2.99659670905758
841,"simdrop",10,2.63636363636364,0.88139633771206
841,"troyerextended",14,1.93333333333333,1.18133634311129
842,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",6,3.14285714285714,2.9485382057929
842,"simdrop",6,3.14285714285714,0.989743318610787
842,"troyerextended",12,1.69230769230769,0.991084517440394
843,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",4,3.8,3.42928563989645
843,"simdrop",5,3.16666666666667,1.46249406456535
843,"troyerextended",8,2.11111111111111,1.52347880008912
844,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",6,4,2.8784916685157
844,"simdrop",9,2.8,0.748331477354788
844,"troyerextended",10,2.54545454545455,2.27090836305396
845,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",4,2.8,3.12409987036266
845,"simdrop",3,3.5,1.11803398874989
845,"troyerextended",10,1.27272727272727,0.616575453011388
846,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",11,2.5,1.70782512765993
846,"simdrop",8,3.33333333333333,1.33333333333333
846,"troyerextended",10,2.72727272727273,3.44016144153173
847,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",8,2.77777777777778,1.81216738114445
847,"simdrop",10,2.27272727272727,0.445361771415123
847,"troyerextended",10,2.27272727272727,1.05234880934457
848,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",7,3.75,2.3318447632722
848,"simdrop",8,3.33333333333333,1.82574185835055
848,"troyerextended",10,2.72727272727273,3.0775110690565
849,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",3,6.5,6.68954408012983
849,"simdrop",7,3.25,1.71391365010026
849,"troyerextended",7,3.25,1.78535710713571
850,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",4,2,1.54919333848297
850,"simdrop",2,3.33333333333333,0.471404520791032
850,"troyerextended",7,1.25,0.661437827766148
851,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",10,2.81818181818182,2.12424026282689
851,"simdrop",9,3.1,1.4456832294801
851,"troyerextended",9,3.1,3.17647603485372
852,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",13,1.78571428571429,1.31901323661567
852,"simdrop",8,2.77777777777778,0.785674201318386
852,"troyerextended",13,1.78571428571429,1.14508711013439
853,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",4,2,0.894427190999916
853,"simdrop",3,2.5,0.5
853,"troyerextended",2,3.33333333333333,2.62466929133727
854,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",5,3.66666666666667,2.21108319357027
854,"simdrop",6,3.14285714285714,1.55182578445717
854,"troyerextended",11,1.83333333333333,0.986013297183269
855,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",9,2.9,1.4456832294801
855,"simdrop",9,2.9,1.04403065089106
855,"troyerextended",14,1.93333333333333,1.38884444373331
856,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",2,6.33333333333333,4.10960933531265
856,"simdrop",4,3.8,0.979795897113271
856,"troyerextended",12,1.46153846153846,0.745796901140974
857,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",7,1.625,0.992156741649222
857,"simdrop",2,4.33333333333333,2.62466929133727
857,"troyerextended",8,1.44444444444444,0.496903994999953
858,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",10,2,0.852802865422442
858,"simdrop",8,2.44444444444444,0.684934889218775
858,"troyerextended",10,2,0.852802865422442
859,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",6,4,2.82842712474619
859,"simdrop",7,3.5,1.5
859,"troyerextended",7,3.5,3.16227766016838
860,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",3,4,4.06201920231798
860,"simdrop",6,2.28571428571429,0.451753951452626
860,"troyerextended",6,2.28571428571429,1.27775312999988
861,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",4,3.2,1.72046505340853
861,"simdrop",4,3.2,0.748331477354788
861,"troyerextended",5,2.66666666666667,1.7950549357115
862,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",10,2,0.953462589245592
862,"simdrop",6,3.14285714285714,1.35526185435788
862,"troyerextended",11,1.83333333333333,1.34370962471642
863,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",11,1.91666666666667,0.9537935951883
863,"simdrop",6,3.28571428571429,1.03015750727543
863,"troyerextended",11,1.91666666666667,0.862006702732383
865,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",6,2.57142857142857,1.67819144635296
865,"simdrop",5,3,0.577350269189626
865,"troyerextended",12,1.38461538461538,0.624926031125843
866,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",9,2.1,1.04403065089106
866,"simdrop",6,3,0.755928946018454
866,"troyerextended",13,1.5,0.823754471047914
867,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",8,3.11111111111111,2.72618758808562
867,"simdrop",8,3.11111111111111,1.09994388184574
867,"troyerextended",9,2.8,2.35796522451032
868,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",5,3,1.52752523165195
868,"simdrop",5,3,1.15470053837925
868,"troyerextended",5,3,1.52752523165195
869,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",6,3.57142857142857,3.45820526768863
869,"simdrop",6,3.57142857142857,1.04978131833565
869,"troyerextended",12,1.92307692307692,0.997037030524286
870,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",9,2.2,1.16619037896906
870,"simdrop",6,3.14285714285714,1.12485826771597
870,"troyerextended",8,2.44444444444444,1.77081971672325
871,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",6,2.14285714285714,1.24539969815448
871,"simdrop",4,3,1.54919333848297
871,"troyerextended",9,1.5,0.921954445729289
872,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",10,2,1.12815214963553
872,"simdrop",6,3.14285714285714,1.72614942479922
872,"troyerextended",11,1.83333333333333,0.98601329718327
873,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",3,4.25,3.89711431702997
873,"simdrop",5,2.83333333333333,0.897527467855751
873,"troyerextended",8,1.88888888888889,0.87488976377909
874,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",12,2,1.10940039245046
874,"simdrop",8,2.88888888888889,0.87488976377909
874,"troyerextended",10,2.36363636363636,1.43163779527487
875,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",5,5.16666666666667,4.25897744639355
875,"simdrop",9,3.1,1.4456832294801
875,"troyerextended",11,2.58333333333333,1.60511335702152
876,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",6,2.42857142857143,1.1780301787479
876,"simdrop",5,2.83333333333333,1.06718737290547
876,"troyerextended",8,1.88888888888889,0.737027731190089
877,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",11,2.33333333333333,1.64991582276861
877,"simdrop",7,3.5,1.11803398874989
877,"troyerextended",13,2,1.25356634105602
878,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",8,2.55555555555556,1.77081971672325
878,"simdrop",5,3.83333333333333,0.897527467855751
878,"troyerextended",9,2.3,1.552417469626
879,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",3,3,1.58113883008419
879,"simdrop",3,3,1.22474487139159
879,"troyerextended",8,1.33333333333333,0.666666666666667
